question,category,quantity,value,unit,comparison,scope,source,interpretation
Q4,model_parameter_or_boundary,critical_time,17999.392696417577,s,q4_D_multiplier_0.9,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,-14686.975971577223,s,q4_D_multiplier_1.1,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,-369.74296152801253,s,q4_beta_multiplier_0.9,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,472.65867237211205,s,q4_beta_multiplier_1.1,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,-12.605733793374384,s,q4_pchip,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,-964.0828156898206,s,q4_last_observation,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,-34.1507917282579,s,q4_mean_9000_14400,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
q1,model_endface,temperature,1.5784045359623633e-07,degC,midplane exposed vs insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,moisture,7.82145637145959e-09,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,mean_moisture,-0.01853279188786283,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q1,model_endface,temperature,1.584387021580369e-07,degC,midplane exposed vs insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,moisture,1.0895720325976299e-08,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,mean_moisture,-0.01853197311642152,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q1,model_endface,temperature,1.0505134540039762e-07,degC,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,moisture,1.5394099772692016e-08,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,mean_moisture,-0.018581581795861446,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q1,model_endface,temperature,1.0519291393507046e-07,degC,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,moisture,1.559899009961896e-08,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q1,model_endface,mean_moisture,-0.01858137632878476,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
Q3,model_endface,critical_time,-8.201507077465067,s,exposed ends minus insulated ends,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q23,model_endface,temperature,0.0017065895883234816,degC,midplane exposed vs insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,moisture,2.315830512533701e-05,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.019523828262131726,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.05494537528844745,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.04719743470291893,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.0033360014928272286,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q3,model_endface,critical_time,-8.170529756258475,s,exposed ends minus insulated ends,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q23,model_endface,temperature,0.001704577155869913,degC,midplane exposed vs insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,moisture,2.3129685194689387e-05,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.019522811754445257,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.05493586294440611,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.04718082146658331,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.0033328477525102485,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q3,model_endface,critical_time,-7.637302022281801,s,exposed ends minus insulated ends,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q23,model_endface,temperature,0.0016812740659233327,degC,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,moisture,2.2641320473804072e-05,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.01956420575502138,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.05499441953450912,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.04721917886625748,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.003341397986133421,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q3,model_endface,critical_time,-7.630123860464664,s,exposed ends minus insulated ends,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q23,model_endface,temperature,0.0016807878569480295,degC,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,moisture,2.2634303102009312e-05,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.019563950826452015,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.05499203824581733,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.047215021199211504,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.003340673476762618,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q4,model_endface,critical_time,-0.0304196551151108,s,exposed ends minus insulated ends,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q4,model_endface,temperature,9.456757599224375e-05,degC,midplane exposed vs insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,moisture,1.2181318482795689e-06,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.014820586420620785,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04249425247169869,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04055413098111038,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.0024108776503168755,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=32,nz=32,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q4,model_endface,critical_time,-0.02127333841053769,s,exposed ends minus insulated ends,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q4,model_endface,temperature,9.44177585679995e-05,degC,midplane exposed vs insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,moisture,1.2183432902546087e-06,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.01481851996596184,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04248253446677497,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04053576157400807,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.0024088837580414912,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=32,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q4,model_endface,critical_time,-0.019539151981007308,s,exposed ends minus insulated ends,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q4,model_endface,temperature,8.978901743006418e-05,degC,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,moisture,1.125551844172179e-06,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.014936631023263036,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04261685023822692,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.040623178265450255,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.00241465636157992,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q4,model_endface,critical_time,-0.01866854159743525,s,exposed ends minus insulated ends,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q4,model_endface,temperature,8.97401074482218e-05,degC,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,moisture,1.1255653173947167e-06,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.014936109794065011,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.042613910929157006,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04061857061778462,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.0024142132940559446,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q4,model_endface,critical_time,-0.028440186200896278,s,exposed ends minus insulated ends,"matched nr=64,nz=64,rtol=1e-10; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q4,model_endface,temperature,8.972099750081952e-05,degC,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-10; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,moisture,1.1507170434299496e-06,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-10; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.01493663093356945,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-10; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04261685128004333,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-10; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.0406231776859447,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-10; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.0024146598116879386,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-10; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q3,model_endface,critical_time,-7.489676187309669,s,exposed ends minus insulated ends,"matched nr=128,nz=128,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q23,model_endface,temperature,0.0016748030375310918,degC,midplane exposed vs insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,moisture,2.250814800230927e-05,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.019574356367678458,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.05500668725973257,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.04722451900758251,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.003342970923809113,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q4,model_endface,critical_time,-0.018224297178676352,s,exposed ends minus insulated ends,"matched nr=128,nz=128,rtol=1e-08; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q4,model_endface,temperature,8.851215098104603e-05,degC,midplane exposed vs insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,moisture,1.1071149788044465e-06,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.01496592263635721,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.042647248521000325,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04063967636787491,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.00241508338120984,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=128,rtol=1e-08; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q3,model_endface,critical_time,-7.656976294849301,s,exposed ends minus insulated ends,"matched nr=64,nz=64,rtol=1e-09; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q23,model_endface,temperature,0.0016812284245375508,degC,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-09; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,moisture,2.2638331708346726e-05,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=64,nz=64,rtol=1e-09; common saved times",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.01956420558542238,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-09; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.054994418504296316,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-09; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.047219246509275115,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-09; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q23,model_endface,mean_moisture,-0.003341403311575508,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=64,nz=64,rtol=1e-09; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q4,model_endface,critical_time,-0.02841161916148849,s,exposed ends minus insulated ends,"matched nr=128,nz=64,rtol=1e-10; common saved times",endface_audit,paired_scenario_difference_not_rigorous_error_bound
q4,model_endface,temperature,8.967865315412382e-05,degC,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-10; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,moisture,1.1506917170223119e-06,kg_water_per_kg_dry,midplane exposed vs insulated,"matched nr=128,nz=64,rtol=1e-10; common saved times",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.014936109703580502,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-10; common saved times; at 1800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.042613911765524204,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-10; common saved times; at 10800.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.04061857002266356,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-10; common saved times; at 21600.0 s",endface_audit,conditional_geometry_difference
q4,model_endface,mean_moisture,-0.0024142170816657954,kg_water_per_kg_dry,whole-cylinder average: exposed minus insulated,"matched nr=128,nz=64,rtol=1e-10; common saved times; at 172800.0 s",endface_audit,conditional_geometry_difference
Q3,endface_effect_numerical_resolution,change_in_paired_time_effect,0.5404058957938105,s,both_space_axes,q23_r64_z32_e1_tol1e-08_dt120 -> q23_r128_z64_e1_tol1e-08_dt120,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q3,endface_effect_numerical_resolution,change_in_paired_time_effect,0.007178161817137152,s,radial,q23_r64_z64_e1_tol1e-08_dt120 -> q23_r128_z64_e1_tol1e-08_dt120,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q3,endface_effect_numerical_resolution,change_in_paired_time_effect,0.14044767315499485,s,axial,q23_r128_z64_e1_tol1e-08_dt120 -> q23_r128_z128_e1_tol1e-08_dt120,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q3,endface_effect_numerical_resolution,change_in_paired_time_effect,-0.01967427256749943,s,time_and_tolerance,q23_r64_z64_e1_tol1e-08_dt120 -> q23_r64_z64_e1_tol1e-09_dt60,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q4,endface_effect_numerical_resolution,change_in_paired_time_effect,0.0008706103835720569,s,radial,q4_r64_z64_e1_tol1e-08_dt120 -> q4_r128_z64_e1_tol1e-08_dt120,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q4,endface_effect_numerical_resolution,change_in_paired_time_effect,0.000444244418758899,s,axial,q4_r128_z64_e1_tol1e-08_dt120 -> q4_r128_z128_e1_tol1e-08_dt120,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q4,endface_effect_numerical_resolution,change_in_paired_time_effect,-0.00890103421988897,s,time_and_tolerance,q4_r64_z64_e1_tol1e-08_dt120 -> q4_r64_z64_e1_tol1e-10_dt30,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q4,endface_effect_numerical_resolution,change_in_paired_time_effect,-0.009743077564053237,s,time_and_tolerance,q4_r128_z64_e1_tol1e-08_dt120 -> q4_r128_z64_e1_tol1e-10_dt30,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
Q4,endface_effect_numerical_resolution,change_in_paired_time_effect,2.8567039407789707e-05,s,radial_at_tight_time,q4_r64_z64_e1_tol1e-10_dt30 -> q4_r128_z64_e1_tol1e-10_dt30,endface_diagnostics,resolution_of_scenario_difference_not_bound_on_true_2D_time
